Kick Distance (yards),Attempts,Made,Make_Prob,Model_Predicted_Prob,Model_Missed_Predicted_Prob
19,8,8,1.0,0.9854329390483056,0.014567060951694355
20,47,46,0.9787234042553191,0.9838783141431836,0.016121685856816392
21,76,76,1.0,0.9821607801659742,0.01783921983402581
22,89,88,0.9887640449438202,0.9802639380727195,0.0197360619272805
23,115,115,1.0,0.978169887897013,0.02183011210298702
24,100,99,0.99,0.9758591249848411,0.024140875015158936
25,109,106,0.9724770642201835,0.9733104369324722,0.02668956306752779
26,107,104,0.9719626168224299,0.970500803523058,0.02949919647694199
27,120,116,0.9666666666666667,0.9674053025483003,0.03259469745169974
28,119,118,0.9915966386554622,0.9639970250839895,0.036002974916010455
29,123,117,0.9512195121951219,0.9602470045648313,0.03975299543516875
30,117,115,0.9829059829059829,0.956124164872431,0.043875835127568985
31,120,116,0.9666666666666667,0.951595293601644,0.048404706398356034
32,107,102,0.9532710280373832,0.9466250476864809,0.053374952313519075
33,139,135,0.9712230215827338,0.941175999617156,0.058824000382843966
34,134,127,0.9477611940298507,0.93520873351884,0.06479126648115996
35,127,112,0.8818897637795275,0.9286820013256643,0.07131799867433575
36,120,109,0.9083333333333333,0.9215529500834991,0.07844704991650087
37,132,125,0.946969696969697,0.913777431940093,0.08622256805990702
38,145,132,0.9103448275862069,0.9053104084928991,0.09468959150710088
39,114,101,0.8859649122807017,0.896106460699416,0.10389353930058398
40,123,110,0.8943089430894309,0.8861204143269341,0.11387958567306589
41,116,93,0.8017241379310345,0.8753080887309728,0.12469191126902723
42,109,88,0.8073394495412844,0.8636271734102142,0.13637282658978578
43,155,125,0.8064516129032258,0.8510382321218726,0.14896176787812743
44,114,93,0.8157894736842105,0.8375058282423867,0.16249417175761327
45,123,96,0.7804878048780488,0.8229997575042347,0.1770002424957653
46,115,90,0.782608695652174,0.8074963653455488,0.1925036346544512
47,121,83,0.6859504132231405,0.7909799161667439,0.2090200838332561
48,156,115,0.7371794871794872,0.7734439713010373,0.22655602869896274
49,107,81,0.7570093457943925,0.75489272220731,0.24510727779269004
50,125,95,0.76,0.7353422162398018,0.2646577837601982
51,145,105,0.7241379310344828,0.7148214054706717,0.28517859452932826
52,138,104,0.7536231884057971,0.6933729456538406,0.30662705434615944
53,132,93,0.7045454545454546,0.6710536736840997,0.32894632631590026
54,102,78,0.7647058823529411,0.6479346987590308,0.35206530124096924
55,91,57,0.6263736263736264,0.6241010554084169,0.37589894459158313
56,69,41,0.5942028985507246,0.5996508855353794,0.4003491144646206
57,51,34,0.6666666666666666,0.5746941408129399,0.4253058591870601
58,28,17,0.6071428571428571,0.5493508246417169,0.4506491753582831
59,20,11,0.55,0.5237488221729449,0.47625117782705506
60,14,6,0.42857142857142855,0.49802139495459824,0.5019786050454018
61,13,6,0.46153846153846156,0.472304440752801,0.527695559247199
62,5,3,0.6,0.44673363647235215,0.5532663635276478
63,4,1,0.25,0.42144159091516864,0.5785584090848314
64,1,0,0.0,0.39655513336942577,0.6034448666305743
65,4,1,0.25,0.37219285380076933,0.6278071461992307
66,1,1,1.0,0.34846299188178803,0.6515370081182119
67,1,0,0.0,0.3254617473000505,0.6745382526999495
68,2,0,0.0,0.30327205535606544,0.6967279446439345
69,0,0,0.0,0.2819628426185808,0.7180371573814193
70,1,0,0.0,0.2615887499756783,0.7384112500243216
