posteam,posteam_type,defteam,side_of_field,yardline_100,half_seconds_remaining,game_seconds_remaining,qtr,down,ydstogo,ydsnet,yards_gained,epa,wp,def_wp,wpa,vegas_wpa,pass_attempt,season,cp,cpoe,goal_to_go,air_yards,field_goal_attempt,field_goal_result,kick_distance,score_differential,no_score_prob,opp_fg_prob,opp_td_prob,fg_prob,td_prob,punt_blocked,punt_inside_twenty,touchback,punt_attempt,fourth_down_converted,touchdown
TB,home,DAL,TB,67.0,1435.0,1435.0,3.0,4.0,10.0,5.0,0.0,0.3859739,0.6372282,0.3627718,-0.00034302473,0.012239754,0.0,2021,,,0,,0.0,,,2.0,0.012085809,0.21064128,0.35717726,0.14657748,0.26645803,0.0,0.0,0.0,0.0,0.0,0.0
NYG,home,DEN,DEN,38.0,1650.0,3450.0,1.0,4.0,18.0,34.0,0.0,0.011178131,0.5345999,0.4654001,-0.047700435,-0.038027197,0.0,2021,,,0,,0.0,,,0.0,0.0061209495,0.1919026,0.27517292,0.22877562,0.28327903,0.0,0.0,0.0,0.0,0.0,0.0
DEN,away,NYG,NYG,37.0,1030.0,2830.0,1.0,4.0,7.0,62.0,15.0,4.142981,0.5178856,0.48211437,0.09834057,0.089187205,1.0,2021,0.6497903,35.020973,0,13.0,0.0,,,0.0,0.033976484,0.15860733,0.26366174,0.27971533,0.25515857,0.0,0.0,0.0,0.0,1.0,0.0
DEN,away,NYG,NYG,49.0,48.0,1848.0,2.0,4.0,2.0,57.0,14.0,2.085815,0.35409498,0.645905,0.11080733,0.0998548,1.0,2021,0.6727146,32.728542,0,14.0,0.0,,,-4.0,0.72965246,0.07089649,0.03930675,0.08322608,0.07491576,0.0,0.0,0.0,0.0,1.0,0.0
DEN,away,NYG,NYG,4.0,1318.0,1318.0,3.0,4.0,1.0,75.0,4.0,3.1562836,0.722151,0.27784902,0.06483987,0.06411647,1.0,2021,0.8402117,15.978831,0,-3.0,0.0,,,3.0,0.0037531652,0.030195545,0.06055221,0.4905561,0.41179278,0.0,0.0,0.0,0.0,1.0,1.0
NYG,home,DEN,DEN,46.0,605.0,605.0,4.0,4.0,4.0,69.0,8.0,3.1113882,0.04559174,0.9544083,0.028813079,0.020928862,0.0,2021,,,0,,0.0,,,-13.0,0.14870466,0.15167543,0.24918352,0.16607592,0.2699366,0.0,0.0,0.0,0.0,1.0,0.0
NYG,home,DEN,DEN,6.0,390.0,390.0,4.0,4.0,6.0,69.0,0.0,-2.858657,0.04814889,0.9518511,-0.024386901,-0.020492665,1.0,2021,0.35430002,-35.43,1,6.0,0.0,,,-13.0,0.046972726,0.016699966,0.019863041,0.8525437,0.06270808,0.0,0.0,0.0,0.0,0.0,0.0
NYG,home,DEN,DEN,21.0,181.0,181.0,4.0,4.0,15.0,31.0,0.0,-2.8451877,0.0006924067,0.9993076,-8.777721e-05,3.71068e-05,1.0,2021,0.23340835,-23.340836,0,21.0,0.0,,,-20.0,0.17171615,0.021111911,0.03719513,0.7101886,0.05819235,0.0,0.0,0.0,0.0,0.0,0.0
GB,away,NO,GB,66.0,1433.0,3233.0,1.0,4.0,1.0,13.0,3.0,2.1488006,0.37726268,0.6227373,0.044428498,0.033808053,1.0,2021,0.75182664,24.817335,0,1.0,0.0,,,-3.0,0.014486705,0.20104808,0.36362308,0.15722194,0.25527963,0.0,0.0,0.0,0.0,1.0,0.0
NO,home,GB,GB,41.0,308.0,2108.0,2.0,4.0,7.0,80.0,12.0,3.044654,0.8312308,0.16876918,0.04844278,0.08907175,1.0,2021,0.8218083,17.819172,0,-5.0,0.0,,,10.0,0.3571729,0.116975494,0.14488816,0.15795992,0.21707757,0.0,0.0,0.0,0.0,1.0,0.0
NO,home,GB,GB,3.0,74.0,1874.0,2.0,4.0,3.0,80.0,0.0,1.4081303,0.8928601,0.107139885,0.0013583302,0.010617375,0.0,2021,,,1,,0.0,,,10.0,0.14666744,0.007168353,0.007381417,0.7240792,0.11064835,0.0,0.0,0.0,0.0,0.0,0.0
NO,home,GB,GB,1.0,74.0,1874.0,2.0,4.0,1.0,80.0,1.0,2.7113686,0.89421844,0.105781555,0.025768388,0.022533273,1.0,2021,0.45154715,54.845284,1,1.0,0.0,,,10.0,0.171493,0.008894257,0.009628153,0.3103654,0.49076265,0.0,0.0,0.0,0.0,1.0,1.0
